Filename, Size (KB), Total Time (ms),,,, Size (KB), Avg Time (ms),,,,
,, SimpleHtmlStreamReader, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho,, SimpleHtmlStreamReader, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho
test8.html, 0.0, 0, 0, 0, 4, 0.0, 0.0, 0.0, 0.0, 0.04
test5.html, 0.4, 1, 1, 1, 7, 0.4, 0.01, 0.01, 0.01, 0.07
script2.html, 0.41, 1, 1, 1, 3, 0.41, 0.01, 0.01, 0.01, 0.03
test6.html, 0.42, 1, 1, 1, 4, 0.42, 0.01, 0.01, 0.01, 0.04
textarea1.html, 0.51, 1, 1, 2, 4, 0.51, 0.01, 0.01, 0.02, 0.04
new1.html, 0.79, 1, 2, 2, 8, 0.79, 0.01, 0.02, 0.02, 0.08
script1.html, 1.04, 2, 2, 3, 5, 1.04, 0.02, 0.02, 0.03, 0.05
test7.html, 1.72, 3, 4, 3, 14, 1.72, 0.03, 0.04, 0.03, 0.14
test2.html, 4.25, 4, 7, 9, 4, 4.25, 0.04, 0.07, 0.09, 0.04
test1.html, 32.54, 44, 64, 51, 75, 32.54, 0.44, 0.64, 0.51, 0.75
LinkedIn.htm, 47.18, 54, 125, 69, 75, 47.18, 0.54, 1.25, 0.69, 0.75
stkofl1.htm, 56.12, 74, 110, 97, 137, 56.12, 0.74, 1.1, 0.97, 1.37
ifwd1.htm, 88.41, 112, 186, 163, 258, 88.41, 1.12, 1.86, 1.63, 2.58
mswin1.htm, 93.62, 117, 175, 144, 243, 93.62, 1.17, 1.75, 1.44, 2.43
htmlContent.html, 97.66, 120, 175, 141, 221, 97.66, 1.2, 1.75, 1.41, 2.21
test4.html, 100.04, 139, 202, 173, 240, 100.04, 1.39, 2.02, 1.73, 2.4
toi2.htm, 148.18, 189, 272, 220, 300, 148.18, 1.89, 2.72, 2.2, 3.0
cnn1.htm, 181.16, 226, 345, 265, 370, 181.16, 2.26, 3.45, 2.65, 3.7
toi1.htm, 216.88, 271, 399, 399, 471, 216.88, 2.71, 3.99, 3.99, 4.71
Yahoo.htm, 261.13, 292, 453, 375, 433, 261.13, 2.92, 4.53, 3.75, 4.33
search.html, 262.67, 295, 463, 517, 278, 262.67, 2.95, 4.63, 5.17, 2.78
drools.htm, 540.54, 736, 1068, 846, 1208, 540.54, 7.36, 10.68, 8.46, 12.08
optaplanner.htm, 1008.51, 1418, 2058, 1631, 2446, 1008.51, 14.18, 20.58, 16.31, 24.46
hibernate.htm, 1605.23, 2093, 3058, 2339, 3189, 1605.23, 20.93, 30.58, 23.39, 31.89
redhat.htm, 2204.82, 2956, 4284, 3303, 4644, 2204.82, 29.56, 42.84, 33.03, 46.44
