,, SimpleHtmlStreamReader, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho,, SimpleHtmlStreamReader, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho
test8.html, 0.0, 0, 0, 0, 18, 0.0, 0.0, 0.0, 0.0, 0.02
test5.html, 0.4, 10, 10, 10, 20, 0.4, 0.01, 0.01, 0.01, 0.02
script2.html, 0.41, 10, 10, 10, 20, 0.41, 0.01, 0.01, 0.01, 0.02
test6.html, 0.42, 10, 10, 10, 20, 0.42, 0.01, 0.01, 0.01, 0.02
textarea1.html, 0.51, 10, 10, 10, 20, 0.51, 0.01, 0.01, 0.01, 0.02
new1.html, 0.79, 20, 12, 20, 40, 0.79, 0.02, 0.01, 0.02, 0.04
script1.html, 1.04, 20, 20, 20, 30, 1.04, 0.02, 0.02, 0.02, 0.03
test7.html, 1.72, 39, 30, 30, 67, 1.72, 0.04, 0.03, 0.03, 0.07
test2.html, 4.25, 50, 49, 80, 27, 4.25, 0.05, 0.05, 0.08, 0.03
test1.html, 32.54, 530, 458, 500, 713, 32.54, 0.53, 0.46, 0.5, 0.71
LinkedIn.htm, 47.18, 685, 593, 717, 705, 47.18, 0.69, 0.59, 0.72, 0.71
stkofl1.htm, 56.12, 923, 836, 974, 1305, 56.12, 0.92, 0.84, 0.97, 1.31
perf3-1.html, 74.19, 1004, 906, 1065, 1505, 74.19, 1.0, 0.91, 1.07, 1.51
jmeter.html, 75.06, 1012, 880, 869, 652, 75.06, 1.01, 0.88, 0.87, 0.65
ifwd1.htm, 88.41, 1416, 1252, 1406, 1925, 88.41, 1.42, 1.25, 1.41, 1.93
mswin1.htm, 93.62, 1413, 1284, 1522, 2333, 93.62, 1.41, 1.28, 1.52, 2.33
htmlContent.html, 97.66, 1478, 1317, 1397, 1735, 97.66, 1.48, 1.32, 1.4, 1.74
test4.html, 100.04, 1721, 1590, 1816, 2303, 100.04, 1.72, 1.59, 1.82, 2.3
toi2.htm, 148.18, 2176, 1962, 2205, 2921, 148.18, 2.18, 1.96, 2.21, 2.92
cnn1.htm, 181.16, 2803, 2537, 2784, 3582, 181.16, 2.8, 2.54, 2.78, 3.58
toi1.htm, 216.88, 3215, 2949, 3837, 4435, 216.88, 3.22, 2.95, 3.84, 4.44
Yahoo.htm, 261.13, 3606, 3242, 3869, 4118, 261.13, 3.61, 3.24, 3.87, 4.12
search.html, 262.67, 3591, 3189, 4744, 2535, 262.67, 3.59, 3.19, 4.74, 2.54
drools.htm, 540.54, 9048, 8225, 8612, 11830, 540.54, 9.05, 8.23, 8.61, 11.83
optaplanner.htm, 1008.51, 17712, 16399, 17214, 24099, 1008.51, 17.71, 16.4, 17.21, 24.1
hibernate.htm, 1605.23, 26019, 23587, 24526, 31498, 1605.23, 26.02, 23.59, 24.53, 31.5
