Filename, Size (KB), Total Time (ms),,,,, Size (KB), Avg Time (ms),,,,,
,, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho, HtmlCleaner, NaiveHtmlParser,, SimpleHtmlContentExtractor, HtmlContentExtractor, Jericho, HtmlCleaner, NaiveHtmlParser
test8.html, 0, 0, 0, 3, 2, 0, 0, 0.0, 0.0, 0.03, 0.02, 0.0
test5.html, 0, 1, 1, 6, 8, 0, 0, 0.01, 0.01, 0.06, 0.08, 0.0
script2.html, 0, 1, 1, 3, 9, 0, 0, 0.01, 0.01, 0.03, 0.09, 0.0
test6.html, 0, 1, 1, 9, 8, 0, 0, 0.01, 0.01, 0.09, 0.08, 0.0
textarea1.html, 0, 1, 2, 4, 9, 1, 0, 0.01, 0.02, 0.04, 0.09, 0.01
new1.html, 0, 1, 2, 7, 15, 1, 0, 0.01, 0.02, 0.07, 0.15, 0.01
script1.html, 1, 2, 3, 4, 15, 1, 1, 0.02, 0.03, 0.04, 0.15, 0.01
test7.html, 1, 3, 3, 13, 32, 7, 1, 0.03, 0.03, 0.13, 0.32, 0.07
test2.html, 4, 4, 7, 4, 30, 0, 4, 0.04, 0.07, 0.04, 0.3, 0.0
test1.html, 32, 38, 47, 108, 292, 249, 32, 0.38, 0.47, 1.08, 2.92, 2.49
LinkedIn.htm, 47, 50, 66, 73, 392, 182, 47, 0.5, 0.66, 0.73, 3.92, 1.82
stkofl1.htm, 56, 70, 93, 136, 605, 260, 56, 0.7, 0.93, 1.36, 6.05, 2.6
ifwd1.htm, 88, 106, 131, 198, 748, 723, 88, 1.06, 1.31, 1.98, 7.48, 7.23
mswin1.htm, 93, 112, 149, 235, 678, 990, 93, 1.12, 1.49, 2.35, 6.78, 9.9
htmlContent.html, 97, 117, 137, 168, 788, 9428, 97, 1.17, 1.37, 1.68, 7.88, 94.28
test4.html, 100, 135, 174, 237, 1063, 1769, 100, 1.35, 1.74, 2.37, 10.63, 17.69
toi2.htm, 148, 168, 212, 298, 1277, 561, 148, 1.68, 2.12, 2.98, 12.77, 5.61
cnn1.htm, 181, 221, 271, 363, 1692, 603, 181, 2.21, 2.71, 3.63, 16.92, 6.03
toi1.htm, 216, 257, 369, 455, 1756, 946, 216, 2.57, 3.69, 4.55, 17.56, 9.46
Yahoo.htm, 261, 288, 366, 416, 1805, 2487, 261, 2.88, 3.66, 4.16, 18.05, 24.87
search.html, 262, 280, 449, 265, 1825, 296, 262, 2.8, 4.49, 2.65, 18.25, 2.96
drools.htm, 540, 711, 840, 1209, 6117, 11738, 540, 7.11, 8.4, 12.09, 61.17, 117.38
optaplanner.htm, 1008, 1413, 1673, 2505, 11560, 25976, 1008, 14.13, 16.73, 25.05, 115.6, 259.76
hibernate.htm, 1605, 2054, 2376, 3285, 17265, 48834, 1605, 20.54, 23.76, 32.85, 172.65, 488.34
redhat.htm, 2204, 2941, 3389, 4591, 23915, 93182, 2204, 29.41, 33.89, 45.91, 239.15, 931.82
